run_id	dataset_id	parent_run_id	stage	direction	hypothesis	status	primary_metric	coverage	cost_notes	artifact_uri	decision
rqvae-nogeo-v2-core_metadata-20260530T064733Z	raw-tables-001		rqvae	nogeo_metadata	core structured metadata excluding raw lat/lng/geom	ok	val_recon=0.046360; collision_free=0.121696	assignability=1.000; items=1209839; dim=76; steps=36329; prefix_l2=2732; max_prefix_l2=8939	train_seconds=280.729; gpu=T4; codebook=64x4	/vol/auto-rec-sys/demo/runs/rqvae-nogeo-v2-core_metadata-20260530T064733Z	keep
rqvae-nogeo-v2-no_price-20260530T064733Z	raw-tables-001		rqvae	nogeo_metadata	core metadata excluding price-like fields and raw lat/lng/geom	ok	val_recon=0.015656; collision_free=0.084601	assignability=1.000; items=1209839; dim=53; steps=35972; prefix_l2=2379; max_prefix_l2=18159	train_seconds=280.660; gpu=T4; codebook=64x4	/vol/auto-rec-sys/demo/runs/rqvae-nogeo-v2-no_price-20260530T064733Z	keep
rqvae-nogeo-v2-no_location-20260530T064733Z	raw-tables-001		rqvae	nogeo_metadata	core metadata excluding location/geographic fields	ok	val_recon=0.020969; collision_free=0.121078	assignability=1.000; items=1209839; dim=56; steps=34827; prefix_l2=2611; max_prefix_l2=16955	train_seconds=280.688; gpu=T4; codebook=64x4	/vol/auto-rec-sys/demo/runs/rqvae-nogeo-v2-no_location-20260530T064733Z	keep
rqvae-nogeo-v2-property_shape-20260530T064733Z	raw-tables-001		rqvae	nogeo_metadata	size rooms age type structure only	ok	val_recon=0.006830; collision_free=0.066605	assignability=1.000; items=1209839; dim=42; steps=36509; prefix_l2=2181; max_prefix_l2=22150	train_seconds=280.618; gpu=T4; codebook=64x4	/vol/auto-rec-sys/demo/runs/rqvae-nogeo-v2-property_shape-20260530T064733Z	keep
rqvae-nogeo-v2-fees_and_price-20260530T064733Z	raw-tables-001		rqvae	nogeo_metadata	price and monthly fee fields only	ok	val_recon=0.000087; collision_free=0.005180	assignability=1.000; items=1209839; dim=3; steps=36456; prefix_l2=985; max_prefix_l2=24563	train_seconds=280.581; gpu=T4; codebook=64x4	/vol/auto-rec-sys/demo/runs/rqvae-nogeo-v2-fees_and_price-20260530T064733Z	discard
