run_id	dataset_id	ablation	codebook_size	rq_levels	kmeans_init	item_count	vector_dim	training_steps_completed	validation_reconstruction_loss	validation_total_loss	codebook_usage_by_level	codebook_entropy_by_level	unique_full_codes	collision_free_fraction	prefix_spread_l2	max_prefix_size_l2	assignability	collision_resolved_assignability	artifact_uri	wandb_url	decision
rqvae-core-tune-core_c128_l4-20260530T183929Z	raw-tables-001	core_metadata	128	4	false	1209839	76	30707	0.026911156252026558	0.056760430335998535	[{"level":0,"usage_fraction":1.0,"used_codes":128},{"level":1,"usage_fraction":0.9921875,"used_codes":127},{"level":2,"usage_fraction":0.984375,"used_codes":126},{"level":3,"usage_fraction":0.9140625,"used_codes":117}]	[{"entropy":6.648026081284054,"level":0,"normalized_entropy":0.9497180116120078},{"entropy":6.689094326006809,"level":1,"normalized_entropy":0.9555849037152584},{"entropy":6.189413921210567,"level":2,"normalized_entropy":0.8842019887443667},{"entropy":3.9007565530325885,"level":3,"normalized_entropy":0.5572509361475126}]	316379	0.2615050432330252	9657	5435	1.0	1.0	/vol/auto-rec-sys/demo/runs/rqvae-core-tune-core_c128_l4-20260530T183929Z	https://wandb.ai/angelocortez102-nippon-homes/auto-rec-sys/runs/rqvae-core-tune-core_c128_l4-20260530T183929Z	keep
rqvae-core-tune-core_c256_l4-20260530T183929Z	raw-tables-001	core_metadata	256	4	false	1209839	76	31686	0.015129130333662033	0.041534289717674255	[{"level":0,"usage_fraction":1.0,"used_codes":256},{"level":1,"usage_fraction":0.9921875,"used_codes":254},{"level":2,"usage_fraction":0.953125,"used_codes":244},{"level":3,"usage_fraction":0.88671875,"used_codes":227}]	[{"entropy":7.679701317896881,"level":0,"normalized_entropy":0.9599626647371101},{"entropy":7.61924607722591,"level":1,"normalized_entropy":0.9524057596532387},{"entropy":7.163405064277539,"level":2,"normalized_entropy":0.8954256330346924},{"entropy":3.397526567424051,"level":3,"normalized_entropy":0.42469082092800636}]	477676	0.3948260884299481	27146	2388	1.0	1.0	/vol/auto-rec-sys/demo/runs/rqvae-core-tune-core_c256_l4-20260530T183929Z	https://wandb.ai/angelocortez102-nippon-homes/auto-rec-sys/runs/rqvae-core-tune-core_c256_l4-20260530T183929Z	keep
rqvae-core-tune-core_c128_l3-20260530T183929Z	raw-tables-001	core_metadata	128	3	false	1209839	76	37395	0.05512083321809769	0.08370155096054077	[{"level":0,"usage_fraction":1.0,"used_codes":128},{"level":1,"usage_fraction":0.984375,"used_codes":126},{"level":2,"usage_fraction":0.9609375,"used_codes":123}]	[{"entropy":6.583220497107774,"level":0,"normalized_entropy":0.9404600710153963},{"entropy":6.64545217019032,"level":1,"normalized_entropy":0.9493503100271886},{"entropy":5.63748908214385,"level":2,"normalized_entropy":0.8053555831634072}]	102398	0.08463770799255108	9710	5222	1.0	1.0	/vol/auto-rec-sys/demo/runs/rqvae-core-tune-core_c128_l3-20260530T183929Z	https://wandb.ai/angelocortez102-nippon-homes/auto-rec-sys/runs/rqvae-core-tune-core_c128_l3-20260530T183929Z	keep
rqvae-core-tune-core_c256_l3-20260530T183929Z	raw-tables-001	core_metadata	256	3	false	1209839	76	32868	0.028313444927334785	0.05029797554016113	[{"level":0,"usage_fraction":0.99609375,"used_codes":255},{"level":1,"usage_fraction":0.984375,"used_codes":252},{"level":2,"usage_fraction":0.85546875,"used_codes":219}]	[{"entropy":7.601844657656867,"level":0,"normalized_entropy":0.9502305822071083},{"entropy":7.625663619998724,"level":1,"normalized_entropy":0.9532079524998405},{"entropy":5.636899784025122,"level":2,"normalized_entropy":0.7046124730031402}]	216638	0.17906349522539777	27995	2776	1.0	1.0	/vol/auto-rec-sys/demo/runs/rqvae-core-tune-core_c256_l3-20260530T183929Z	https://wandb.ai/angelocortez102-nippon-homes/auto-rec-sys/runs/rqvae-core-tune-core_c256_l3-20260530T183929Z	keep
rqvae-feature-src-structured-20260530T193623Z	raw-tables-001	structured_metadata	256	4	false	1209839	23	33244	0.005712378304451704	0.01563766784965992	[{"level":0,"usage_fraction":1.0,"used_codes":256},{"level":1,"usage_fraction":1.0,"used_codes":256},{"level":2,"usage_fraction":1.0,"used_codes":256},{"level":3,"usage_fraction":0.91015625,"used_codes":233}]	[{"entropy":7.755402370945308,"level":0,"normalized_entropy":0.9694252963681635},{"entropy":7.411855748048269,"level":1,"normalized_entropy":0.9264819685060336},{"entropy":7.13268700005692,"level":2,"normalized_entropy":0.891585875007115},{"entropy":5.626592409369353,"level":3,"normalized_entropy":0.7033240511711691}]	518168	0.42829500454192665	26811	2359	1.0	1.0	/vol/auto-rec-sys/demo/runs/rqvae-feature-src-structured-20260530T193623Z	https://wandb.ai/angelocortez102-nippon-homes/auto-rec-sys/runs/rqvae-feature-src-structured-20260530T193623Z	keep
rqvae-feature-src-context-20260530T193623Z	raw-tables-001	context_metadata	256	4	false	1209839	53	35266	0.0021274578757584095	0.010743983089923859	[{"level":0,"usage_fraction":1.0,"used_codes":256},{"level":1,"usage_fraction":0.9375,"used_codes":240},{"level":2,"usage_fraction":0.58984375,"used_codes":151},{"level":3,"usage_fraction":0.6328125,"used_codes":162}]	[{"entropy":7.446239141018425,"level":0,"normalized_entropy":0.9307798926273031},{"entropy":5.059736815285429,"level":1,"normalized_entropy":0.6324671019106787},{"entropy":2.3080107429632504,"level":2,"normalized_entropy":0.2885013428704063},{"entropy":2.6576467528560106,"level":3,"normalized_entropy":0.3322058441070013}]	15036	0.01242809993726438	4777	49865	1.0	1.0	/vol/auto-rec-sys/demo/runs/rqvae-feature-src-context-20260530T193623Z	https://wandb.ai/angelocortez102-nippon-homes/auto-rec-sys/runs/rqvae-feature-src-context-20260530T193623Z	keep
rqvae-feature-src-price_shape-20260530T193623Z	raw-tables-001	price_shape_metadata	256	4	false	1209839	45	33907	0.005294790491461754	0.015870245173573494	[{"level":0,"usage_fraction":1.0,"used_codes":256},{"level":1,"usage_fraction":0.98828125,"used_codes":253},{"level":2,"usage_fraction":0.9375,"used_codes":240},{"level":3,"usage_fraction":0.8828125,"used_codes":226}]	[{"entropy":7.723747995085333,"level":0,"normalized_entropy":0.9654684993856666},{"entropy":7.307617863868844,"level":1,"normalized_entropy":0.9134522329836054},{"entropy":6.5652169366809225,"level":2,"normalized_entropy":0.8206521170851153},{"entropy":2.681095735978205,"level":3,"normalized_entropy":0.33513696699727563}]	359074	0.2967948627875279	25129	5411	1.0	1.0	/vol/auto-rec-sys/demo/runs/rqvae-feature-src-price_shape-20260530T193623Z	https://wandb.ai/angelocortez102-nippon-homes/auto-rec-sys/runs/rqvae-feature-src-price_shape-20260530T193623Z	keep
